DATE,HOUST1F
2013-09-01,577.0
2013-10-01,595.0
2013-11-01,699.0
2013-12-01,647.0
2014-01-01,567.0
2014-02-01,594.0
2014-03-01,652.0
2014-04-01,646.0
2014-05-01,652.0
2014-06-01,603.0
2014-07-01,656.0
2014-08-01,644.0
2014-09-01,664.0
2014-10-01,699.0
2014-11-01,658.0
2014-12-01,720.0
2015-01-01,703.0
2015-02-01,584.0
2015-03-01,627.0
2015-04-01,742.0
2015-05-01,708.0
2015-06-01,700.0
2015-07-01,759.0
2015-08-01,734.0
2015-09-01,746.0
2015-10-01,705.0
2015-11-01,774.0
2015-12-01,765.0
2016-01-01,752.0
2016-02-01,859.0
2016-03-01,753.0
2016-04-01,777.0
2016-05-01,753.0
2016-06-01,769.0
2016-07-01,769.0
2016-08-01,734.0
2016-09-01,777.0
2016-10-01,859.0
2016-11-01,817.0
2016-12-01,801.0
2017-01-01,785.0
2017-02-01,864.0
2017-03-01,836.0
2017-04-01,825.0
2017-05-01,832.0
2017-06-01,867.0
2017-07-01,841.0
2017-08-01,867.0
2017-09-01,839.0
2017-10-01,878.0
2017-11-01,924.0
2017-12-01,824.0
2018-01-01,872.0
2018-02-01,894.0
2018-03-01,875.0
2018-04-01,908.0
2018-05-01,970.0
2018-06-01,866.0
2018-07-01,869.0
2018-08-01,900.0
2018-09-01,875.0
2018-10-01,872.0
2018-11-01,781.0
2018-12-01,775.0
2019-01-01,925.0
2019-02-01,779.0
2019-03-01,831.0
2019-04-01,870.0
2019-05-01,858.0
2019-06-01,864.0
2019-07-01,899.0
2019-08-01,903.0
2019-09-01,920.0
2019-10-01,898.0
2019-11-01,911.0
2019-12-01,1009.0
2020-01-01,968.0
2020-02-01,1039.0
2020-03-01,879.0
2020-04-01,676.0
2020-05-01,750.0
2020-06-01,904.0
2020-07-01,1012.0
2020-08-01,1029.0
2020-09-01,1116.0
2020-10-01,1180.0
2020-11-01,1173.0
2020-12-01,1311.0
2021-01-01,1115.0
2021-02-01,1050.0
2021-03-01,1227.0
2021-04-01,1043.0
2021-05-01,1109.0
2021-06-01,1173.0
2021-07-01,1136.0
2021-08-01,1099.0
2021-09-01,1094.0
2021-10-01,1087.0
2021-11-01,1231.0
2021-12-01,1217.0
2022-01-01,1157.0
2022-02-01,1211.0
2022-03-01,1179.0
2022-04-01,1176.0
2022-05-01,1067.0
2022-06-01,1010.0
2022-07-01,898.0
2022-08-01,919.0
2022-09-01,887.0
2022-10-01,858.0
2022-11-01,804.0
2022-12-01,887.0
2023-01-01,823.0
2023-02-01,835.0
2023-03-01,843.0
2023-04-01,847.0
2023-05-01,1012.0
2023-06-01,930.0
2023-07-01,988.0
2023-08-01,933.0
2023-09-01,963.0
